ts," 0.013057258965488289]""","[0.0, 0.0, 0.0]",0.0,0.0.1,0.0.2,0.0.3
"[0.07220809368562355, -0.029428021671258384, 0.0026222380904002453]","[-0.7468154098425189, -0.09086365840343946, 0.01991721980104796]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07146127827578103, -0.029428021671258384, 0.0026222380904002453]","[-0.7468154098425189, -0.09086365840343946, 0.01991721980104796]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07146127827578103, -0.02951929868162539, 0.0026222380904002453]","[-0.7356036560276086, -0.09127701036700658, 0.020030086497903332]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07146127827578103, -0.02951929868162539, 0.0026422681768981486]","[-0.7356036560276086, -0.09127701036700658, 0.020030086497903332]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07072567461975342, -0.02951929868162539, 0.0026422681768981486]","[-0.7356036560276086, -0.09127701036700658, 0.020030086497903332]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07072567461975342, -0.029610933741523363, 0.0026422681768981486]","[-0.7246790028949956, -0.09163505989797163, 0.020138847799623313]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07072567461975342, -0.029610933741523363, 0.002662407024697772]","[-0.7246790028949956, -0.09163505989797163, 0.020138847799623313]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07000099561685842, -0.029610933741523363, 0.002662407024697772]","[-0.7246790028949956, -0.09163505989797163, 0.020138847799623313]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07000099561685842, -0.029702853533597473, 0.002662407024697772]","[-0.7136352060544554, -0.0919197920741105, 0.02025106919202298]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.07000099561685842, -0.029702853533597473, 0.002682658093889795]","[-0.7136352060544554, -0.0919197920741105, 0.02025106919202298]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.06928736041080397, -0.029702853533597473, 0.002682658093889795]","[-0.7136352060544554, -0.0919197920741105, 0.02025106919202298]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.06928736041080397, -0.029794988251431394, 0.002682658093889795]","[-0.7026984290855603, -0.09213471783392144, 0.020364365409738204]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.06928736041080397, -0.029794988251431394, 0.002703022459299533]","[-0.7026984290855603, -0.09213471783392144, 0.020364365409738204]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.0685846619817184, -0.029794988251431394, 0.002703022459299533]","[-0.7026984290855603, -0.09213471783392144, 0.020364365409738204]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
"[0.0685846619817184, -0.02988727245178445, 0.002703022459299533]","[-0.6919957025292439, -0.0922842003530551, 0.020479027066448805]","[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0
